Team,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Man City,9,10,5,3,1,2,1,2,4,3,1,1,2,1,1
Liverpool,4,2,7,6,8,7,2,6,8,4,4,2,1,3,2
Chelsea,2,3,1,2,6,3,3,1,10,1,5,3,4,4,3
Tottenham,11,8,4,5,4,5,6,5,3,2,3,4,6,7,4
Arsenal,3,4,3,4,3,4,4,3,2,5,6,5,8,8,5
Man United,1,1,2,1,2,1,7,4,5,6,2,6,3,2,6
West Ham,10,9,17,20,,10,13,12,7,11,13,10,16,6,7
Leicester,,,,,,,,14,1,12,9,9,5,5,8
Brighton,,,,,,,,,,,15,17,15,16,9
Wolves,,,15,17,20,,,,,,,7,7,13,10
Newcastle,12,18,,12,5,16,10,15,18,,10,13,13,12,11
Crystal Palace,,,,,,,11,10,15,14,11,12,14,14,12
Brentford,,,,,,,,,,,,,,,13
Aston Villa,6,6,6,9,16,15,15,17,20,,,,17,11,14
Southampton,,,,,,14,8,7,6,8,17,16,11,15,15
Everton,5,5,8,7,7,6,5,11,11,7,8,8,12,10,16
Leeds,,,,,,,,,,,,,,9,17
Burnley,,,18,,,,,19,,16,7,15,10,17,18
Watford,,,,,,,,,13,17,14,11,19,,19
Norwich,,,,,12,11,18,,19,,,,20,,20
Fulham,17,7,12,8,9,12,19,,,,,19,,18,
West Brom,,20,,11,10,8,17,13,14,10,20,,,19,
Sheffield United,,,,,,,,,,,,,9,20,
Bournemouth,,,,,,,,,16,9,12,14,18,,
Cardiff,,,,,,,20,,,,,18,,,
Huddersfield,,,,,,,,,,,16,20,,,
Swansea,,,,,11,9,12,8,12,15,18,,,,
Stoke,,12,11,13,14,13,9,9,9,13,19,,,,
Birmingham,19,,9,18,,,,,,,,,,,
Blackburn,7,15,10,15,19,,,,,,,,,,
Blackpool,,,,19,,,,,,,,,,,
Bolton,16,13,14,14,18,,,,,,,,,,
Bradford,,,,,,,,,,,,,,,
Charlton,,,,,,,,,,,,,,,
Coventry,,,,,,,,,,,,,,,
Derby,20,,,,,,,,,,,,,,
Hull,,17,19,,,,16,18,,18,,,,,
Ipswich,,,,,,,,,,,,,,,
Middlesboro,13,19,,,,,,,,,,,,,
Middlesbrough,13,19,,,,,,,,19,,,,,
Portsmouth,8,14,20,,,,,,,,,,,,
QPR,,,,,17,20,,,,,,,,,
Reading,18,,,,,19,,20,,,,,,,
Sunderland,15,16,13,10,13,17,14,16,17,20,,,,,
Wigan,14,11,16,16,15,18,,,,,,,,,
Wimbledon,,,,,,,,,,,,,,,
